title,text,source_name,date,topics,sentiment,type,tickers,lastupdate,news_id,rank_score
Heres Why ADA BNB AVAX  SOL Price Are Not In Bearish Market,The crypto market has plunged lower today as BTC has dipped to 41K level and ETH is steering clear of 3K Most altcoins on the chart are losing gains today as the market bleeds red However the success of Cardano ADA Binance Coin BNB and two other altcoins according to crypto researcher Nicholas Merten shows ,CoinPedia,2022-01-19 05:42:35,[],Neutral,Article,"['ADA', 'AVAX', 'BNB', 'SOL']","2024/02/07, 14:10:63554",100039,4.09
Heroes of NFT Unveils its First Collectible NFT Card Game on Avalanche,Tortola British Virgin Islands 19th January 2022 Chainwire Heroes of NFT a metaverse gaming environment where players can create their Metasphere has launched its collectible,Koinpost,2022-01-19 06:46:55,['NFT'],Neutral,Article,['AVAX'],"2024/02/07, 14:10:63544",100122,4.69
Avalanche Chainlink CRV Price Analysis 19 January,While Bitcoin struggled to counter its 4hour 20SMA Avalanche Chainlink and Curve DAO token flashed oversold RSIs Their nearterm technicals continued to flash a bearish edge,AMBCrypto,2022-01-19 13:30:12,['tanalysis'],Neutral,Article,"['AVAX', 'CRV', 'LINK']","2024/02/07, 14:10:63447",100174,4.2
Avalanche Continues its Blistering New Year Growth With New Feat,Most crypto experts noted that Avalanche would be Ethereums biggest rival in 2022 The first few weeks of the new year have shown that there is much truth in that statement,Altcoin Buzz,2022-01-19 14:42:26,[],Positive,Article,['AVAX'],"2024/02/07, 14:10:63419",100235,5.57
Price analysis 119 BTC ETH BNB ADA SOL XRP LUNA DOT AVAX DOGE,Sell pressure on BTC and altcoins is beginning to alleviate but data suggests that its too early to call for a reversal,Cointelegraph,2022-01-19 17:37:49,['tanalysis'],Neutral,Article,"['ADA', 'AVAX', 'BNB', 'BTC', 'DOGE', 'ETH', 'LUNA', 'SOL', 'XRP', 'DOT']","2024/02/07, 14:10:63365",100284,4.37
Crypto Traders Bullish on Polkadot DOT Avalanche AVAX and Polygon MATIC  Heres Why,The crypto market has been trading with mixed results and minimal volatility BTC is trading at 418K however it is still in green trade ETH has plunged down to 3K While the majority of altcoins trade in red some trade in green Several altcoins are eating market share from crypto titans Bitcoin BTC and Ethereum ,CoinPedia,2022-01-20 05:34:58,[],Positive,Article,"['AVAX', 'DOT', 'MATIC']","2024/02/07, 14:10:63860",100429,4.09
Missed Out on Ethereum 2 Top Cryptocurrencies to Buy Now and Hold,These digital assets could make you richer in the long run,The Motley Fool,2022-01-20 13:15:00,[],Positive,Article,"['ADA', 'AVAX']","2024/02/07, 14:10:63746",100570,4.55
AutoSwap Brings Limit Orders and Stop Losses to Trader Joe and Avalanche,PRESS RELEASE  Zug Switzerland 18th January 2022 Autonomy Network an offtheshelf decentralized automation protocol has officially integrated its AutoSwap dApp with Trader Joe on Avalanche following its successful integration with the PancakeSwap on Binance Smart Chain BSC AutoSwap is the firstever dApp to offer limit order stop loss impermanent loss protection and recurring payment ,CryptoPotato,2022-01-20 14:34:56,[],Positive,Article,"['AVAX', 'JOE']","2024/02/07, 14:10:63705",100633,4.14
1inch Protocol Now Available on Avalanche and Gnosis Chain,The DEX aggregator aims to expand its DeFi crosschain transaction capabilities to new platforms,CryptoPotato,2022-01-20 15:00:05,[],Positive,Article,"['1INCH', 'AVAX', 'GNO']","2024/02/07, 14:10:63697",100651,4.59
1inch Heads to Avalanche and Gnosis Chain,1inch will integrate the leading DeFi protocols on Avalanche and Gnosis Chain,Crypto Briefing,2022-01-20 15:07:38,[],Positive,Article,"['1INCH', 'AVAX', 'GNO']","2024/02/07, 14:10:63689",100657,4.72
1inch Network expands to Avalanche and Gnosis Chain,The decentralized exchange aggregator said it hopes to offer users more options for lowcosts highspeed transactions,Cointelegraph,2022-01-20 15:30:00,[],Positive,Article,"['1INCH', 'AVAX', 'GNO']","2024/02/07, 14:10:63684",100668,4.98
Avalanche Stellar AAVE Price Analysis 20 January,Correlating with the market sentiment altcoins like Avalanche Stellar and AAVE exhibited a bearish inclination Avalanche fell below all its EMA ribbons,AMBCrypto,2022-01-20 16:30:23,['tanalysis'],Neutral,Article,"['AAVE', 'AVAX', 'XLM']","2024/02/07, 14:10:63670",100680,4.2
1inch debuts on Avalanche and xDai Chain,TLDR Breakdown 1inch Network has launched on Avalanche and Gnosis Chain In 2021 the protocol was also deployed on Optimistic Ethereum and Abritrum,Cryptopolitan,2022-01-20 16:32:45,[],Positive,Article,"['1INCH', 'AVAX', 'GNO']","2024/02/07, 14:10:63669",100681,4.29
Bitcoin Ethereum Terra LUNA Avalanche Daily Price Analyses  20 January Roundup,TLDR Breakdown The global crypto market is in a bearish mood lost 517 in the last 24 hours Bitcoin is about to cross the red line losing 502 in the last 24 hours,Cryptopolitan,2022-01-21 04:20:27,[],Neutral,Article,"['AVAX', 'BTC', 'ETH', 'LUNA']","2024/02/07, 14:10:63565",100878,3.84
Mapping out Avalanches ecosystem,Quick Take Avalanche is an opensource platform for decentralized finance DeFi applications and enterprise solutions Developed and launched in late September by Ava Labs the team raised a total of 60 million across three separate sales The Block has identified 54 projects and companies across 11 different verticals currently expanding on its ecosystem,The Block,2021-02-04 17:47:54,,Neutral,Article,['AVAX'],"2024/01/22, 13:58:26",10090,6.22
