title,text,source_name,date,topics,sentiment,type,tickers,lastupdate,news_id,rank_score
PolkadotDOT Might Plunge More Than 50 While ChainlinkLINK Price is Ready To Surge Above 30,After recording a notable plunge since the early trading hours the crypto space is attempting for a notable rebound at the press time Bitcoin has just risen from a loss of more than 3 to a gain of just 032 And hence a notable bounce may be expected in the next couple of hours where ,CoinPedia,2022-01-19 13:21:35,[],Neutral,Article,"['DOT', 'LINK']","2024/02/07, 14:10:63448",100171,4.09
Polkadot Parachain Astar Network Integrates with DIA Oracles,DIA is the first oracle provider to integrate its oracle infrastructure with the Astar Network running in the Polkadot Relaychain The oracle deployment will facilitate DeFi applications on Astar to easily connect to the outside world data,BTCManager,2022-01-19 15:14:31,[],Positive,Article,"['DIA', 'DOT']","2024/02/07, 14:10:63406",100228,2.99
Price analysis 119 BTC ETH BNB ADA SOL XRP LUNA DOT AVAX DOGE,Sell pressure on BTC and altcoins is beginning to alleviate but data suggests that its too early to call for a reversal,Cointelegraph,2022-01-19 17:37:49,['tanalysis'],Neutral,Article,"['ADA', 'AVAX', 'BNB', 'BTC', 'DOGE', 'ETH', 'LUNA', 'SOL', 'XRP', 'DOT']","2024/02/07, 14:10:63365",100284,4.37
Crypto Analyst Justin Bennett Says Polkadot DOT Breakout Imminent  Here Are His Targets,Popular crypto strategist and trader Justin Bennett says a strong breakout is on the horizon for interoperability blockchain Polkadot DOT In a new strategy session Bennett says that Polkadots price action iscoiling as it trades within a bullish continuation pattern The fact that this is a falling wedge which is inherently a bullish pattern and  The post Crypto Analyst Justin Bennett Says Polkadot DOT Breakout Imminent  Here Are His Targets appeared first on The Daily Hodl,The Daily Hodl,2022-01-19 23:05:36,[],Positive,Article,['DOT'],"2024/02/07, 14:10:63300",100394,6.18
Polkadot price analysis DOT presents buying opportunity before 30 ascent,TLDR Breakdown Polkadot price lowered another 3 percent during the days trade Price continues to be in constant decline since January 16 attempt to reach 30 DOT sits on the back foot again but presents a buying opportunity at current trend Polkadot price analysis for the day shows its decline continuing as price dropped as ,Cryptopolitan,2022-01-20 02:40:06,['tanalysis'],Positive,Article,['DOT'],"2024/02/07, 14:10:63287",100413,5.48
Crypto Traders Bullish on Polkadot DOT Avalanche AVAX and Polygon MATIC  Heres Why,The crypto market has been trading with mixed results and minimal volatility BTC is trading at 418K however it is still in green trade ETH has plunged down to 3K While the majority of altcoins trade in red some trade in green Several altcoins are eating market share from crypto titans Bitcoin BTC and Ethereum ,CoinPedia,2022-01-20 05:34:58,[],Positive,Article,"['AVAX', 'DOT', 'MATIC']","2024/02/07, 14:10:63860",100429,4.09
Bitcoin Ethereum Cardano Polkadot Daily Price Analyses  19 January Roundup,TLDR Breakdown The global market is again recessive losing 137 in 24 hours Bitcoin has also turned bearish losing 075 in the last 24 hours,Cryptopolitan,2022-01-20 05:53:51,[],Neutral,Article,"['ADA', 'BTC', 'DOT', 'ETH']","2024/02/07, 14:10:63856",100432,3.84
Gavin Wood Seeks More Developers To Design the Future of Polkadot,Gavin Wood is going on a hiring spree looking to attract more developers to Parity Technologies thatll help him from the nextgeneration of the most promising projects in the crypto space  the Polkadot blockchain This comes at the perfect time right after Polkadot was shown next to Ethereum in monthly active developer count by Electric Capital,Crypto Daily,2022-01-20 13:15:00,[],Positive,Article,['DOT'],"2024/02/07, 14:10:63745",100582,5.53
Polkadot DOT Price to Retest 20 Before Massive Upswing To 65 Buy Opportunity on Horizon,Over the course of the days trading the larger cryptocurrency market continued to fall with Bitcoin falling into the 41000s and Ethereum remaining just above 3000 Cardano is down 4 to 136 and Litecoin is down 2 to 13739 among altcoins Terra on the other hand continued to gain traction climbing 2 to 80 DOT ,CoinPedia,2022-01-20 15:58:25,[],Positive,Article,['DOT'],"2024/02/07, 14:10:63676",100673,5.89
Polkadot Synthetix Uniswap Price Analysis 04 February,Polkadot broke out past a range it was trading in over the past few weeks and targeted the 236 mark Synthetix dipped to find support at 166 and climbed higher while Uniswap showed a bearish divergence across multiple timeframes after its strong performance since November,AMBCrypto,2021-02-05 01:00:01,tanalysis,Neutral,Article,"['DOT', 'SNX', 'UNI']","2024/01/22, 13:58:26",10076,4.2
