title,text,source_name,date,topics,sentiment,type,tickers,lastupdate,news_id,rank_score
Top DeFi Tokens in Uniswap Chainlink Curve All Dip as Crypto Markets Cool,As the broader crypto market continues its downward trend major DeFi tokens saw a heavy slump in prices over the last 24 hours,Decrypt,2022-01-19 11:10:30,[],Neutral,Article,"['LINK', 'UNI']","2024/02/07, 14:10:63484",100112,4.47
Top DeFi Tokens Like UNI Curve Drop As Crypto Markets Cool Down,Top Defi tokens like Uni and Curve are dropping in value as the markets start cooling down over the past 24 hours as we are reading more today in our latest altcoin news The DEFI sector took quite the hit over the past day with some of the top defi tokens like Uniswaps UNI suffering ,DCForecasts,2022-01-19 12:52:32,[],Negative,Article,"['CRV', 'UNI']","2024/02/07, 14:10:63460",100186,3.14
UNI Hovers Near AllTime High A History of Price Movements,The UNI rally has turned parabolic and could mean that its approaching the top of the current upward move First Major UNI Cycle The first major cycle for UNI began moments after its launch in September,BeInCrypto,2021-02-04 20:55:32,,Positive,Article,['UNI'],"2024/01/22, 13:58:26",10023,6.13
Uniswap may be king but ignore SushiSwap at your own risk,To best understand the cryptospace it is also important to understand the notion of competition that drives it Like the emergence of Ethereum Killers over the past few years the DeFi space too is seeing protocols and projects going head to head trying to oneup each other,AMBCrypto,2021-02-05 00:30:29,,Neutral,Article,"['SUSHI', 'UNI']","2024/01/22, 13:58:26",10071,4.36
Polkadot Synthetix Uniswap Price Analysis 04 February,Polkadot broke out past a range it was trading in over the past few weeks and targeted the 236 mark Synthetix dipped to find support at 166 and climbed higher while Uniswap showed a bearish divergence across multiple timeframes after its strong performance since November,AMBCrypto,2021-02-05 01:00:01,tanalysis,Neutral,Article,"['DOT', 'SNX', 'UNI']","2024/01/22, 13:58:26",10076,4.2
Uniswap Price Analysis UNIUSD strongly bearish at 1407,TLDR Breakdown Unieswap price analysis is bearish today The strongest resistance is present at 187 Uniswap trades at 1407 as of now,Cryptopolitan,2022-01-21 06:20:16,['tanalysis'],Negative,Article,['UNI'],"2024/02/07, 14:10:64137",100892,5.48
Uniswap is integrated by instant crypto swap platform ChangeNOW,The text below is an advertorial article that was not written by Cryptonewscom journalists ChangeNOW is thrilled to announce a new partnership with a leading decentralized exchange Uniswap The platform works with the best instant swap services on the market and integrating Uniswaps engine under our hood was a particularly desirable milestone Now new trading pairs and a reliable liquidity,Cryptonews,2020-12-11 01:03:40,,Positive,Article,['UNI'],"2024/01/22, 14:10:11",1010,6.09
Uniswap Labs Hires Former Federal Reserve Economist,Uniswaps new head of research has a decorated resume but not everyone is impressed,Crypto Briefing,2022-01-21 23:08:34,[],Neutral,Article,['UNI'],"2024/02/07, 14:10:63888",101235,6.07
Uniswap Price Analysis UNI declines to 116,TLDR Breakdown Unieswap price analysis is bearish today The strongest resistance is present at 19 Uniswap trades at 116 as of now,Cryptopolitan,2022-01-22 08:51:50,['tanalysis'],Negative,Article,['UNI'],"2024/02/07, 14:10:64274",101291,5.48
How to use UniSwap A stepbystep beginners guide,There are several ways in which users can get started using the Uniswap DEX such as the MetaMask wallet the Trust Wallet and the Coinbase wallet,Cointelegraph,2022-01-22 09:00:00,[],Neutral,Article,['UNI'],"2024/02/07, 14:10:64273",101294,6.33
